Feature,Coefficient,Compartment,Feature_Type,Measurement,Channel,Rank
Nuclei_Correlation_Overlap_Actin_ER,0.0,Nuclei,Correlation,Overlap,Actin,386
Cells_Intensity_MaxIntensity_Actin,0.0,Cells,Intensity,MaxIntensity,Actin,387
Cells_AreaShape_Zernike_3_3,0.0,Cells,AreaShape,Zernike,3,388
Cytoplasm_RadialDistribution_ZernikeMagnitude_Hoechst_5_1,0.0,Cytoplasm,RadialDistribution,ZernikeMagnitude,Hoechst,389
Cells_Intensity_MeanIntensityEdge_Mitochondria,0.0,Cells,Intensity,MeanIntensityEdge,Mitochondria,390
Nuclei_RadialDistribution_ZernikeMagnitude_Actin_8_8,0.0,Nuclei,RadialDistribution,ZernikeMagnitude,Actin,391
Nuclei_Texture_InfoMeas2_Hoechst_3_01_256,0.0,Nuclei,Texture,InfoMeas2,Hoechst,392
Cytoplasm_Texture_Contrast_ER_3_02_256,0.0,Cytoplasm,Texture,Contrast,ER,393
Cells_Texture_Contrast_Hoechst_3_00_256,0.0,Cells,Texture,Contrast,Hoechst,394
Nuclei_AreaShape_Zernike_5_1,0.0,Nuclei,AreaShape,Zernike,5,395
Cells_Texture_SumVariance_Hoechst_3_00_256,0.0,Cells,Texture,SumVariance,Hoechst,396
Nuclei_RadialDistribution_ZernikeMagnitude_Actin_2_2,0.0,Nuclei,RadialDistribution,ZernikeMagnitude,Actin,397
Cells_RadialDistribution_FracAtD_ER_3of4,0.0,Cells,RadialDistribution,FracAtD,ER,398
Cells_RadialDistribution_ZernikeMagnitude_PM_6_0,0.0,Cells,RadialDistribution,ZernikeMagnitude,PM,399
Cytoplasm_RadialDistribution_ZernikeMagnitude_PM_6_2,0.0,Cytoplasm,RadialDistribution,ZernikeMagnitude,PM,400
Cytoplasm_RadialDistribution_ZernikeMagnitude_Hoechst_6_4,0.0,Cytoplasm,RadialDistribution,ZernikeMagnitude,Hoechst,401
Cytoplasm_Texture_InverseDifferenceMoment_ER_3_03_256,0.0,Cytoplasm,Texture,InverseDifferenceMoment,ER,402
Cells_RadialDistribution_ZernikeMagnitude_PM_8_2,0.0,Cells,RadialDistribution,ZernikeMagnitude,PM,403
Cytoplasm_RadialDistribution_FracAtD_Mitochondria_4of4,0.0,Cytoplasm,RadialDistribution,FracAtD,Mitochondria,404
Nuclei_RadialDistribution_ZernikeMagnitude_ER_8_0,0.0,Nuclei,RadialDistribution,ZernikeMagnitude,ER,405
Cytoplasm_RadialDistribution_ZernikeMagnitude_Hoechst_1_1,0.0,Cytoplasm,RadialDistribution,ZernikeMagnitude,Hoechst,406
Nuclei_RadialDistribution_ZernikeMagnitude_PM_9_1,0.0,Nuclei,RadialDistribution,ZernikeMagnitude,PM,407
Nuclei_Intensity_IntegratedIntensityEdge_ER,0.0,Nuclei,Intensity,IntegratedIntensityEdge,ER,408
Cells_RadialDistribution_ZernikeMagnitude_Mitochondria_6_0,0.0,Cells,RadialDistribution,ZernikeMagnitude,Mitochondria,409
Cells_Correlation_Manders_Hoechst_Actin,0.0,Cells,Correlation,Manders,Hoechst,410
Cells_Intensity_StdIntensity_Hoechst,0.0,Cells,Intensity,StdIntensity,Hoechst,411
Nuclei_RadialDistribution_ZernikeMagnitude_ER_2_0,0.0,Nuclei,RadialDistribution,ZernikeMagnitude,ER,412
Cells_Texture_Correlation_Hoechst_3_00_256,0.0,Cells,Texture,Correlation,Hoechst,413
Nuclei_RadialDistribution_ZernikeMagnitude_Actin_8_2,0.0,Nuclei,RadialDistribution,ZernikeMagnitude,Actin,414
Cytoplasm_Texture_InfoMeas1_PM_3_03_256,0.0,Cytoplasm,Texture,InfoMeas1,PM,415
Cells_AreaShape_Zernike_5_5,0.0,Cells,AreaShape,Zernike,5,416
Nuclei_RadialDistribution_ZernikeMagnitude_ER_3_3,0.0,Nuclei,RadialDistribution,ZernikeMagnitude,ER,417
Cells_AreaShape_MinFeretDiameter,0.0,Cells,AreaShape,MinFeretDiameter,,418
Nuclei_Intensity_LowerQuartileIntensity_ER,0.0,Nuclei,Intensity,LowerQuartileIntensity,ER,419
Nuclei_Texture_InfoMeas1_PM_3_03_256,0.0,Nuclei,Texture,InfoMeas1,PM,420
Cytoplasm_Intensity_StdIntensityEdge_Mitochondria,0.0,Cytoplasm,Intensity,StdIntensityEdge,Mitochondria,421
Nuclei_Correlation_RWC_PM_Hoechst,0.0,Nuclei,Correlation,RWC,PM,422
Cells_Texture_InfoMeas1_Actin_3_02_256,0.0,Cells,Texture,InfoMeas1,Actin,423
Cytoplasm_RadialDistribution_ZernikeMagnitude_Mitochondria_9_3,0.0,Cytoplasm,RadialDistribution,ZernikeMagnitude,Mitochondria,424
Cytoplasm_RadialDistribution_RadialCV_PM_1of4,0.0,Cytoplasm,RadialDistribution,RadialCV,PM,425
Nuclei_Texture_AngularSecondMoment_Hoechst_3_01_256,0.0,Nuclei,Texture,AngularSecondMoment,Hoechst,426
Cytoplasm_RadialDistribution_ZernikeMagnitude_Mitochondria_2_0,0.0,Cytoplasm,RadialDistribution,ZernikeMagnitude,Mitochondria,427
Cytoplasm_RadialDistribution_ZernikeMagnitude_Mitochondria_9_5,0.0,Cytoplasm,RadialDistribution,ZernikeMagnitude,Mitochondria,428
Nuclei_Texture_Correlation_Mitochondria_3_00_256,0.0,Nuclei,Texture,Correlation,Mitochondria,429
Nuclei_AreaShape_Zernike_8_4,0.0,Nuclei,AreaShape,Zernike,8,430
Nuclei_AreaShape_FormFactor,0.0,Nuclei,AreaShape,FormFactor,,431
Cytoplasm_AreaShape_Zernike_4_2,0.0,Cytoplasm,AreaShape,Zernike,4,432
Cytoplasm_Texture_InfoMeas2_Mitochondria_3_03_256,0.0,Cytoplasm,Texture,InfoMeas2,Mitochondria,433
Cells_RadialDistribution_RadialCV_Hoechst_3of4,0.0,Cells,RadialDistribution,RadialCV,Hoechst,434
Cytoplasm_Granularity_2_PM,0.0,Cytoplasm,Granularity,2,PM,435
Cytoplasm_RadialDistribution_MeanFrac_ER_1of4,0.0,Cytoplasm,RadialDistribution,MeanFrac,ER,436
Nuclei_RadialDistribution_ZernikeMagnitude_Hoechst_6_4,0.0,Nuclei,RadialDistribution,ZernikeMagnitude,Hoechst,437
Nuclei_RadialDistribution_ZernikeMagnitude_Hoechst_2_0,0.0,Nuclei,RadialDistribution,ZernikeMagnitude,Hoechst,438
Nuclei_Correlation_RWC_ER_Actin,0.0,Nuclei,Correlation,RWC,ER,439
Cytoplasm_RadialDistribution_ZernikeMagnitude_Hoechst_4_0,0.0,Cytoplasm,RadialDistribution,ZernikeMagnitude,Hoechst,440
Nuclei_Correlation_RWC_PM_ER,0.0,Nuclei,Correlation,RWC,PM,441
Cells_AreaShape_Zernike_9_9,0.0,Cells,AreaShape,Zernike,9,442
Nuclei_RadialDistribution_ZernikeMagnitude_Mitochondria_7_1,0.0,Nuclei,RadialDistribution,ZernikeMagnitude,Mitochondria,443
Cytoplasm_RadialDistribution_RadialCV_ER_3of4,0.0,Cytoplasm,RadialDistribution,RadialCV,ER,444
Cytoplasm_RadialDistribution_ZernikeMagnitude_Mitochondria_6_2,0.0,Cytoplasm,RadialDistribution,ZernikeMagnitude,Mitochondria,445
Cells_RadialDistribution_ZernikeMagnitude_Hoechst_2_0,0.0,Cells,RadialDistribution,ZernikeMagnitude,Hoechst,446
Cytoplasm_Texture_InfoMeas1_Hoechst_3_02_256,0.0,Cytoplasm,Texture,InfoMeas1,Hoechst,447
Cells_AreaShape_Zernike_1_1,0.0,Cells,AreaShape,Zernike,1,448
